Time_s,Ch_0,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6
0.117776,5.499916,-0.087891,0.017273,0.954407,-4.832061,19.503817,-0.885496
0.118241,5.499916,-0.089600,0.020020,0.957581,-1.114504,20.694656,-0.992366
0.118707,5.499916,-0.095032,0.025452,0.951599,2.854962,21.106871,-1.274809
0.119172,5.499916,-0.101990,0.026611,0.948486,5.465649,20.427481,-1.076336
0.119638,5.499916,-0.109192,0.028076,0.945679,5.839694,19.496183,-0.450382
0.120103,5.499916,-0.108826,0.031921,0.945007,4.480916,18.770992,0.053435
0.120569,5.499916,-0.104370,0.033020,0.940125,1.763359,18.305344,0.007634
0.121034,5.499916,-0.101074,0.033508,0.936401,-0.458015,18.175573,-0.137405
0.121500,5.499916,-0.101196,0.027283,0.932312,-2.595420,17.977098,-0.450382
0.121965,5.499916,-0.094116,0.022034,0.937073,-4.755725,18.083969,-0.496183
0.122431,5.499916,-0.093018,0.014648,0.940369,-5.717557,18.618320,-0.625954
0.122896,5.499916,-0.093750,0.008362,0.946350,-7.450382,19.870230,-0.870229
0.123362,5.499916,-0.095947,0.006042,0.948486,-8.068703,20.862595,-1.305344
0.123827,5.499916,-0.098267,-0.000671,0.954285,-7.427481,21.030535,-1.832061
0.124293,5.499916,-0.105835,-0.003357,0.951172,-5.503817,20.916031,-1.755725
0.124759,5.499916,-0.102051,-0.000610,0.949219,-2.427481,20.580153,-1.389313
0.125224,5.499916,-0.102783,0.004578,0.954163,1.694656,19.641222,-1.106870
0.125690,5.499916,-0.105652,0.003540,0.958862,4.992366,18.603054,-0.824427
0.126155,5.499916,-0.105103,0.007751,0.955872,6.610687,18.259542,-0.458015
0.126621,5.499916,-0.104004,0.012512,0.957031,6.854962,18.534351,-0.366412
0.127086,5.499916,-0.101807,0.019714,0.949341,7.137404,18.022902,-0.877863
0.127552,5.499916,-0.099243,0.021118,0.942505,6.847328,17.229008,-1.221374
0.128017,-5.302190,-0.096619,0.021362,0.942322,5.969466,16.694656,-0.961832
0.128483,-5.491524,-0.089233,0.020813,0.941589,4.244275,17.381680,-0.694656
0.128948,-5.493874,-0.088318,0.019653,0.938599,1.442748,19.045801,-0.778626
0.129414,-5.494209,-0.091309,0.015625,0.937927,-0.106870,19.961832,-0.931298
0.129879,-5.494713,-0.099915,0.011230,0.934875,-3.038168,21.450382,-1.389313
0.130345,-5.494713,-0.103760,0.006042,0.936035,-4.984733,21.671755,-1.389313
0.130810,-5.494881,-0.109192,0.002502,0.946899,-6.083970,21.274809,-0.961832
0.131276,-5.494881,-0.108887,-0.003296,0.956238,-6.190840,20.480917,-0.885496
0.131741,-5.495048,-0.105225,-0.004944,0.961792,-3.854962,19.862595,-1.145038
0.132207,-5.495048,-0.103760,-0.004517,0.957153,0.244275,18.847328,-1.381679
0.132672,-5.494881,-0.098633,-0.004517,0.952820,4.374046,17.687023,-1.297710
0.133138,-5.494881,-0.095337,-0.008301,0.951965,6.885496,18.030535,-1.076336
0.133603,-5.495048,-0.098511,-0.004028,0.956360,8.786260,19.000000,-0.877863
0.134069,-5.495048,-0.103027,0.003479,0.958740,10.969465,18.770992,-0.641221
0.134534,-5.494881,-0.104614,0.014526,0.956116,13.374045,17.480917,-0.374046
0.135000,-5.494713,-0.105225,0.019714,0.941833,14.389313,15.870229,-0.297710
0.135465,-5.494377,-0.099304,0.021362,0.928772,12.778625,15.114504,-0.206107
0.135931,-5.495048,-0.095703,0.015137,0.924561,7.541985,16.564886,0.022901
0.136396,-5.495048,-0.097473,0.017151,0.926819,4.282443,18.061069,0.274809
0.136862,-5.495216,-0.101624,0.013550,0.929749,-2.213740,20.877863,0.282443
0.137327,-5.495048,-0.102539,0.012878,0.927368,-6.702290,21.992367,0.221374
0.137793,-5.495048,-0.107422,0.007019,0.935059,-8.595420,21.129770,0.366412
