Rel_Time,System_Time,S6_EMG_1
0.126621,18:00:50.847,-4.047684
0.127086,18:00:50.847,-3.952346
0.127552,18:00:50.848,-3.833509
0.128017,18:00:50.848,-3.660288
0.128483,18:00:50.849,-3.426978
0.128948,18:00:50.849,-3.426978
0.129414,18:00:50.849,-2.794522
0.129879,18:00:50.850,-2.414176
0.130345,18:00:50.850,-2.015030
0.130810,18:00:50.851,-1.660868
0.131276,18:00:50.851,-1.390295
0.131741,18:00:50.852,-1.186862
0.132207,18:00:50.852,-1.027405
0.132672,18:00:50.853,-0.893126
0.133138,18:00:50.853,-0.786038
0.133603,18:00:50.854,-0.765728
0.134069,18:00:50.854,-0.841932
0.134534,18:00:50.855,-0.937102
0.135000,18:00:50.855,-0.978729
0.135466,18:00:50.856,-0.973693
0.135931,18:00:50.856,-1.001892
0.136397,18:00:50.856,-1.096056
0.136862,18:00:50.857,-1.187198
0.137328,18:00:50.857,-1.213046
0.137793,18:00:50.858,-1.219760
0.138259,18:00:50.858,-1.241581
0.138724,18:00:50.859,-1.259037
0.139190,18:00:50.859,-1.258366
0.139655,18:00:50.860,-1.244938
0.140121,18:00:50.860,-1.276829
0.140586,18:00:50.861,-1.360250
0.141052,18:00:50.861,-1.393484
0.141517,18:00:50.862,-1.320974
0.141983,18:00:50.862,-1.149767
0.142448,18:00:50.862,-0.919814
0.142914,18:00:50.863,-0.678950
0.143379,18:00:50.863,-0.425498
0.143845,18:00:50.864,-0.125719
0.144310,18:00:50.864,0.182116
0.144776,18:00:50.865,0.441276
0.145241,18:00:50.865,0.656123
0.145707,18:00:50.866,0.885405
0.146172,18:00:50.866,1.175448
0.146638,18:00:50.867,1.509804
0.147103,18:00:50.867,1.841474
0.147569,18:00:50.868,2.187243
0.148034,18:00:50.868,2.586053
0.148500,18:00:50.869,3.037232
0.148966,18:00:50.869,3.534066
0.149431,18:00:50.869,4.060105
0.149897,18:00:50.870,4.623072
0.150362,18:00:50.870,5.131991
0.150828,18:00:50.871,5.472389
0.151293,18:00:50.871,5.499916
0.151759,18:00:50.872,5.499916
0.152224,18:00:50.872,5.499916
0.152690,18:00:50.873,5.499916
0.153155,18:00:50.873,5.499916
0.153621,18:00:50.874,5.499916
0.154086,18:00:50.874,5.499916
0.154552,18:00:50.875,5.499916
0.155017,18:00:50.875,5.499916
0.155483,18:00:50.876,5.499916
0.155948,18:00:50.876,5.499916
0.156414,18:00:50.876,5.499916
0.156879,18:00:50.877,5.499916
0.157345,18:00:50.877,5.499916
0.157810,18:00:50.878,5.499916
0.158276,18:00:50.878,5.499916
0.158741,18:00:50.879,5.499916
0.159207,18:00:50.879,5.499916
0.159672,18:00:50.880,5.499916
0.160138,18:00:50.880,5.499916
0.160603,18:00:50.881,5.499916
0.161069,18:00:50.881,5.499916
0.161534,18:00:50.882,5.499916
0.162000,18:00:50.882,5.499916
0.162466,18:00:50.883,5.499916
0.162931,18:00:50.883,5.499916
0.163397,18:00:50.883,5.499916
0.163862,18:00:50.884,5.499916
0.164328,18:00:50.884,5.499916
0.164793,18:00:50.885,5.499916
0.165259,18:00:50.885,5.499916
0.165724,18:00:50.886,5.499916
0.166190,18:00:50.886,5.499916
0.166655,18:00:50.887,5.499916
0.167121,18:00:50.887,5.499916
0.167586,18:00:50.888,5.499916
0.168052,18:00:50.888,5.499916
0.168517,18:00:50.889,5.499916
0.168983,18:00:50.889,5.499916
0.169448,18:00:50.889,5.499916
0.169914,18:00:50.890,5.499916
0.170379,18:00:50.890,5.499916
0.170845,18:00:50.891,5.499916
0.171310,18:00:50.891,5.499916
0.171776,18:00:50.892,5.499916
0.172241,18:00:50.892,5.499916
0.172707,18:00:50.893,5.499916
0.173172,18:00:50.893,5.499916
0.173638,18:00:50.894,5.499916
0.174103,18:00:50.894,5.499916
0.174569,18:00:50.895,5.499916
0.175034,18:00:50.895,5.499916
0.175500,18:00:50.896,5.499916
0.175966,18:00:50.896,5.499916
0.176431,18:00:50.896,5.499916
0.176897,18:00:50.897,5.499916
0.177362,18:00:50.897,0.013596
0.177828,18:00:50.898,0.068315
0.178293,18:00:50.898,0.273762
0.178759,18:00:50.899,-0.341238
0.179224,18:00:50.899,-1.242924
0.179690,18:00:50.900,-1.985153
0.180155,18:00:50.900,-2.585046
0.180621,18:00:50.901,-3.173358
0.181086,18:00:50.901,-3.740185
0.181552,18:00:50.902,-4.244739
0.182017,18:00:50.902,-4.679637
0.182483,18:00:50.903,-5.058808
0.182948,18:00:50.903,-5.417166
0.183414,18:00:50.903,-5.492363
0.183879,18:00:50.904,-5.493706
0.184345,18:00:50.904,-5.494209
0.184810,18:00:50.905,-5.494209
0.185276,18:00:50.905,-5.494545
0.185741,18:00:50.906,-5.494713
0.186207,18:00:50.906,-5.494713
0.186672,18:00:50.907,-5.494713
0.187138,18:00:50.907,-5.494713
0.187603,18:00:50.908,-5.494881
